Spelnamn,Rating,#Reviews,Rabatt%,Pris,OrdinariePris,Utgivningsår,Win,Lin,OSX,Tid
Team Fortress 2,9,724932,,Unavailable,Unavailable,"10 Oct, 2007",1,1,1,25.11.2020
Fall Guys: Ultimate Knockout,9,240833,20,"15,99€","19,99€","3 Aug, 2020",1,0,0,25.11.2020
Half-Life: Alyx,10,35314,25,"37,49€","49,99€","23 Mar, 2020",1,0,0,25.11.2020
Fallout 4,7,133624,70,"8,99€","29,99€","10 Nov, 2015",1,0,0,25.11.2020
We Happy Few,7,5429,85,"8,99€","59,99€","10 Aug, 2018",1,0,0,25.11.2020
Dead by Daylight,9,284644,60,"7,99€","19,99€","14 Jun, 2016",1,0,0,25.11.2020
Hunt: Showdown,9,54603,50,"19,99€","39,99€","27 Aug, 2019",1,0,0,25.11.2020
Satisfactory,10,25286,20,"23,99€","29,99€","8 Jun, 2020",1,0,0,25.11.2020
Shadow of the Tomb Raider: Definitive Edition,9,29846,,Unavailable,Unavailable,"14 Sep, 2018",1,1,1,25.11.2020
Squad,9,46698,25,"33,74€","44,99€","23 Sep, 2020",1,0,0,25.11.2020
The Outer Worlds,9,4692,50,"29,99€","59,99€","23 Oct, 2020",1,0,0,25.11.2020
Fallout 76,7,13577,67,"13,19€","39,99€","14 Apr, 2020",1,0,0,25.11.2020
Wreckfest,9,16749,50,"14,99€","29,99€","14 Jun, 2018",1,0,0,25.11.2020
DiRT Rally 2.0,9,9612,75,"4,99€","19,99€","25 Feb, 2019",1,0,0,25.11.2020
Total War: WARHAMMER II - The Twisted & The Twilight,Unavailable,,10,"8,99€","9,99€","3 Dec, 2020",1,1,1,25.11.2020
Space Engineers,9,71068,30,"11,89€","16,99€","28 Feb, 2019",1,0,0,25.11.2020
Arma 3,9,126856,75,"6,99€","27,99€","12 Sep, 2013",1,0,0,25.11.2020
Untitled Goose Game,9,1952,25,"12,59€","16,79€","23 Sep, 2020",1,0,1,25.11.2020
Monster Hunter World: Iceborne,6,12769,38,"24,79€","39,99€","9 Jan, 2020",1,0,0,25.11.2020
HITMAN™ 2,9,18249,,Unavailable,Unavailable,"13 Nov, 2018",1,0,0,25.11.2020
Wolfenstein Alt History Collection,9,57503,81,"19,40€","99,96€",,1,0,0,25.11.2020
7 Days to Die,9,100343,66,"7,81€","22,99€","13 Dec, 2013",1,1,1,25.11.2020
